GEO_ID,zipcode,HouseholdsEstimateTotal,HouseholdsMargin of ErrorTotal,HouseholdsEstimateMedian income (dollars),HouseholdsMargin of ErrorMedian income (dollars),HouseholdsEstimateMean income (dollars),HouseholdsMargin of ErrorMean income (dollars)
8600000US10010,10010,16050,639,101718,7116,154979,9747
8600000US10011,10011,29762,985,109818,7540,196817,12211
8600000US10012,10012,12470,442,100859,5399,141430,9309
8600000US10013,10013,11558,507,96667,17159,242875,27704
8600000US10014,10014,18786,671,113973,10369,179375,9550
8600000US10016,10016,28390,961,104826,5131,152944,8891
8600000US10017,10017,10157,665,106421,12463,160725,15326
8600000US10018,10018,4712,280,105500,11540,144419,14518
8600000US10019,10019,23146,806,94022,5480,144753,9121
8600000US10020,10020,0,11,,,,
8600000US10021,10021,23739,1133,115076,13697,218180,17613
8600000US10022,10022,17892,660,126378,8059,234492,24394
8600000US10023,10023,32755,1181,111478,10254,188600,12631
8600000US10024,10024,28675,978,113839,5687,202005,13762
8600000US10025,10025,43456,932,74065,4869,124739,6919
8600000US10026,10026,14527,360,47264,4441,79815,6041
8600000US10027,10027,22937,541,40782,3120,70034,4255
8600000US10028,10028,24941,846,114939,6716,203678,12612
8600000US10029,10029,30115,590,31350,1805,60756,3927
8600000US10030,10030,11891,437,33196,2758,53229,3425
8600000US10031,10031,21191,557,39774,3792,56924,3559
8600000US10032,10032,20243,455,37280,2545,52050,3245
8600000US10033,10033,19548,453,44933,2793,64437,3219
8600000US10034,10034,15462,306,42581,3518,59635,3211
8600000US10035,10035,12999,398,27424,2708,47759,3599
8600000US10036,10036,15455,617,75966,10398,115834,7431
8600000US10037,10037,9109,351,35491,5225,50691,4253
8600000US10038,10038,9780,399,76379,8254,122181,14075
8600000US10039,10039,10631,351,33558,3534,52332,6045
8600000US10040,10040,16002,363,46200,2894,59397,2654
8600000US10044,10044,4622,294,91383,15666,116875,11584
8600000US10065,10065,16742,650,112869,11047,205447,19510
8600000US10069,10069,2850,487,163750,25568,231265,39696
8600000US10075,10075,14145,903,111691,14719,205405,21321
8600000US10103,10103,0,11,,,,
8600000US10110,10110,0,11,,,,
8600000US10111,10111,0,11,,,,
8600000US10112,10112,0,11,,,,
8600000US10115,10115,0,11,,,,
8600000US10119,10119,0,11,,,,
8600000US10128,10128,31920,791,100200,6975,172532,10104
8600000US10152,10152,0,11,,,,
8600000US10153,10153,0,11,,,,
8600000US10154,10154,0,11,,,,
8600000US10162,10162,671,238,193510,41091,216132,43805
8600000US10165,10165,0,11,,,,
8600000US10167,10167,0,11,,,,
8600000US10168,10168,0,11,,,,
8600000US10169,10169,0,11,,,,
8600000US10170,10170,0,11,,,,
8600000US10171,10171,0,11,,,,
8600000US10172,10172,0,11,,,,
8600000US10173,10173,0,11,,,,
8600000US10174,10174,0,11,,,,
8600000US10177,10177,0,11,,,,
8600000US10199,10199,0,11,,,,
8600000US10271,10271,0,11,,,,
8600000US10278,10278,0,11,,,,
8600000US10279,10279,0,11,,,,
8600000US10280,10280,4588,330,145432,23202,193651,25746
8600000US10282,10282,2439,282,"250,000",,318142,49414
8600000US10463,10463,27458,478,56482,2218,80384,4046
8600000US11001,11001,9131,221,99691,5127,119387,5477
8600000US11003,11003,12042,352,89831,5558,101669,4671
8600000US11004,11004,4862,225,85968,5850,99830,8005
8600000US11005,11005,1522,107,58894,5866,91016,14239
8600000US11040,11040,12945,346,106654,3762,125241,4827
8600000US11101,11101,11772,382,48013,5874,77677,4742
8600000US11102,11102,14039,359,51123,2936,71031,3778
8600000US11103,11103,16607,409,59243,2328,74020,2469
8600000US11104,11104,11540,357,55294,3647,70828,4669
8600000US11105,11105,15532,353,61646,1809,79957,3074
8600000US11106,11106,17004,398,54109,2959,71621,3288
8600000US11109,11109,2560,212,129505,8539,155054,16605
8600000US11351,11351,0,11,,,,
8600000US11354,11354,20006,528,44741,2713,62568,2987
8600000US11355,11355,27354,562,39168,2903,54472,2191
8600000US11356,11356,7712,247,57194,4701,75112,5929
8600000US11357,11357,14846,355,73750,5498,91915,4626
8600000US11358,11358,13114,347,65258,4130,83944,3177
8600000US11359,11359,0,11,,,,
8600000US11360,11360,8567,271,80235,7266,97078,6019
8600000US11361,11361,10606,208,79158,5353,93310,3970
8600000US11362,11362,7068,192,86758,5605,99502,7386
8600000US11363,11363,2649,128,89219,9590,121953,16684
8600000US11364,11364,13205,260,72477,4878,88789,3920
8600000US11365,11365,15764,384,59520,5334,79166,5979
8600000US11366,11366,4191,229,72486,6760,93774,6425
8600000US11367,11367,14644,335,56557,4099,73718,3872
8600000US11368,11368,29095,488,45004,1629,55919,1869
8600000US11369,11369,11482,273,52310,4675,67171,3373
8600000US11370,11370,8809,291,53427,4549,75046,9658
8600000US11371,11371,0,11,,,,
8600000US11372,11372,24793,447,50485,3478,63963,2942
8600000US11373,11373,31351,538,47588,1889,62616,2225
8600000US11374,11374,19483,470,52132,4161,70852,3754
8600000US11375,11375,32272,445,72414,3322,95909,3548
8600000US11377,11377,31455,523,50436,1331,64842,2091
8600000US11378,11378,12411,274,57127,3509,74249,4297
8600000US11379,11379,13528,299,71551,1992,83602,3029
8600000US11385,11385,34937,455,55331,2778,69571,2252
8600000US11411,11411,6022,183,81149,6037,93447,4151
8600000US11412,11412,10871,263,72458,3022,82631,3211
8600000US11413,11413,12339,302,81287,3054,92538,3133
8600000US11414,11414,10654,332,68374,7395,88917,7761
8600000US11415,11415,8250,309,63756,3129,80334,3946
8600000US11416,11416,7134,207,58392,4491,72849,3346
8600000US11417,11417,9450,283,62057,3621,79020,3952
8600000US11418,11418,11371,380,61480,2293,73486,2824
8600000US11419,11419,12357,259,58266,3896,73064,2916
8600000US11420,11420,13474,278,59660,3269,79434,4909
8600000US11421,11421,12228,227,60996,2182,78211,3630
8600000US11422,11422,9620,258,84955,6406,92702,5190
8600000US11423,11423,9793,315,62179,4587,80672,4339
8600000US11424,11424,0,11,,,,
8600000US11426,11426,6191,287,77146,4552,90998,5485
8600000US11427,11427,7739,217,66007,5822,83020,3859
8600000US11428,11428,5620,187,67151,5505,75806,3919
8600000US11429,11429,7318,232,68684,6749,82902,4171
8600000US11430,11430,0,11,,,,
8600000US11432,11432,18362,414,50702,1896,70442,2596
8600000US11433,11433,10394,266,42964,2276,59055,3465
8600000US11434,11434,20731,384,58076,2145,70071,2491
8600000US11435,11435,18486,350,52686,2293,66645,2623
8600000US11436,11436,5454,194,64005,4374,78107,4135
8600000US11451,11451,0,11,,,,
8600000US11581,11581,6773,158,100787,7215,120373,6965
8600000US11691,11691,19607,485,42023,2537,55708,2480
8600000US11692,11692,6249,323,42127,3230,58512,4959
8600000US11693,11693,4512,263,53281,8656,64300,5404
8600000US11694,11694,7956,308,75094,3928,100077,6403
8600000US11697,11697,1520,139,93333,21346,109500,11505
8600000US10301,10301,14063,372,54605,3507,75227,3393
8600000US10302,10302,6017,273,54170,5824,70739,4543
8600000US10303,10303,8029,302,52553,5498,62834,3790
8600000US10304,10304,14564,397,54106,3554,82916,5903
8600000US10305,10305,14931,324,72782,4419,82951,4255
8600000US10306,10306,20215,383,79686,3678,95618,3603
8600000US10307,10307,5110,174,76857,5974,96729,7502
8600000US10308,10308,10675,305,87174,6158,98769,6270
8600000US10309,10309,11052,301,87509,5693,109210,7805
8600000US10310,10310,8304,250,68080,7132,84186,4898
8600000US10311,10311,0,11,,,,
8600000US10312,10312,21530,377,84584,3469,102797,3025
8600000US10314,10314,31294,548,77331,3347,93457,3219
